iterations,1,2,3,4,5,6,7,8,9,10
(9X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 5.295878171920776, -1, -1, -1, (9, 3))","('UNSAT', 2.6995677947998047, -1, -1, -1, (9, 3))","('UNSAT', 2.754516124725342, -1, -1, -1, (9, 3))","('UNSAT', 2.764359712600708, -1, -1, -1, (9, 3))","('UNSAT', 2.739372730255127, -1, -1, -1, (9, 3))","('UNSAT', 2.7364490032196045, -1, -1, -1, (9, 3))","('UNSAT', 2.708984136581421, -1, -1, -1, (9, 3))","('UNSAT', 2.72746205329895, -1, -1, -1, (9, 3))"
(10X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 5.26306676864624, -1, -1, -1, (10, 3))","('UNSAT', 2.745786190032959, -1, -1, -1, (10, 3))","('UNSAT', 2.764157295227051, -1, -1, -1, (10, 3))","('UNSAT', 2.697307586669922, -1, -1, -1, (10, 3))","('UNSAT', 2.736304759979248, -1, -1, -1, (10, 3))","('UNSAT', 2.7258989810943604, -1, -1, -1, (10, 3))","('UNSAT', 2.716026544570923, -1, -1, -1, (10, 3))","('UNSAT', 2.74147891998291, -1, -1, -1, (10, 3))"
(1X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.050763607025146484, -1, -1, -1, (1, 4))","('UNSAT', 0.08422327041625977, -1, -1, -1, (1, 4))","('UNSAT', 0.07997298240661621, -1, -1, -1, (1, 4))","('UNSAT', 0.09024190902709961, -1, -1, -1, (1, 4))","('UNSAT', 0.08312511444091797, -1, -1, -1, (1, 4))","('UNSAT', 0.0844111442565918, -1, -1, -1, (1, 4))","('UNSAT', 0.0827329158782959, -1, -1, -1, (1, 4))","('UNSAT', 0.08353972434997559, -1, -1, -1, (1, 4))"
(2X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 2.6632046699523926, -1, -1, -1, (2, 4))","('UNSAT', 0.5618946552276611, -1, -1, -1, (2, 4))","('UNSAT', 0.5831894874572754, -1, -1, -1, (2, 4))","('UNSAT', 0.5655512809753418, -1, -1, -1, (2, 4))","('UNSAT', 0.5747957229614258, -1, -1, -1, (2, 4))","('UNSAT', 0.560971736907959, -1, -1, -1, (2, 4))","('UNSAT', 0.5659728050231934, -1, -1, -1, (2, 4))","('UNSAT', 0.5684845447540283, -1, -1, -1, (2, 4))"
(3X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 61.28832745552063, 21.5878, 0.11319, 7.955382898217e-06, (3, 4))","('SAT', 61.57537889480591, 21.5878, 0.11319, 7.955382898217e-06, (3, 4))","('SAT', 61.42956328392029, 21.5878, 0.11319, 7.955382898217e-06, (3, 4))","('SAT', 61.70017099380493, 21.5878, 0.11319, 7.955382898217e-06, (3, 4))","('SAT', 61.722442388534546, 21.5878, 0.11319, 7.955382898217e-06, (3, 4))","('SAT', 61.764039039611816, 21.5878, 0.11319, 7.955382898217e-06, (3, 4))","('SAT', 61.68301248550415, 21.5878, 0.11319, 7.955382898217e-06, (3, 4))","('SAT', 62.31493330001831, 21.5878, 0.11319, 7.955382898217e-06, (3, 4))"
(4X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(5X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(6X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(7X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(8X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
