cell,iteration,model_id,status,runtime,area,delay,total_power,et,labeling_time,subgraph_extraction,subgraph_inputs,subgraph_outputs,subxpat_phase1,subxpat_phase2
"(1, 2)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.7005128860473633
"(1, 2)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.615900993347168
"(1, 2)",6,0,SAT,,137.5049,0.424401015043,5.862321268069e-05,22,-1,2.264244318008423,4,2,-1,-1,1.2493019104003906
"(1, 2)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.8517577648162842
"(1, 2)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.6352899074554443
"(1, 2)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,0.766700029373169
"(1, 2)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,1.5278282165527344
"(1, 2)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.757216215133667
"(1, 2)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,1.1741299629211426
"(1, 2)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.9026610851287842
"(1, 2)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,1.4968719482421875
"(2, 2)",1,0,SAT,,179.2726,0.528866708279,6.115239375504e-05,22,-1,2.535367488861084,4,2,-1,-1,6.939722061157227
"(2, 2)",2,0,SAT,,179.7419,0.542597591877,6.539958121721e-05,22,-1,2.5608110427856445,4,1,-1,-1,1.4240047931671143
"(2, 2)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,2.708998203277588
"(2, 2)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,12.196332693099976
"(2, 2)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.8589239120483398
"(2, 2)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,1.6781084537506104
"(2, 2)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,7.708998680114746
"(2, 2)",9,0,SAT,,122.4873,0.336391508579,5.72381177335e-05,30,-1,1.9921150207519531,4,2,-1,-1,1.559086561203003
"(2, 2)",10,0,SAT,,118.2636,0.322360813618,5.292500645737e-05,30,-1,1.7043352127075195,4,2,-1,-1,6.82698917388916
"(2, 2)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.6874291896820068
